Date,Not indexed,Indexed,Impressions
2026-06-18,,,0
2026-06-19,,,1
2026-06-20,,,3
2026-06-21,,,2
2026-06-22,,,1
2026-06-23,,,0
2026-06-24,,,0
2026-06-25,,,0
2026-06-26,,,3
2026-06-27,,,0
2026-06-28,,,0
2026-06-29,,,1
2026-06-30,16,36,0
2026-07-01,16,36,0
2026-07-02,16,36,2
2026-07-03,16,36,0
2026-07-04,16,36,1
2026-07-05,16,36,0
2026-07-06,16,36,9
2026-07-07,16,36,0
2026-07-08,16,36,3
2026-07-09,16,36,3
2026-07-10,16,36,2
2026-07-11,16,37,0
2026-07-12,16,37,0
2026-07-13,16,37,0
2026-07-14,16,37,5
2026-07-15,16,37,1
2026-07-16,16,37,7
2026-07-17,16,37,4
2026-07-18,16,37,1
2026-07-19,16,37,1
2026-07-20,16,37,4
2026-07-21,16,37,1
2026-07-22,16,37,1
2026-07-23,16,37,0
2026-07-24,16,37,1
2026-07-25,124,69,1
2026-07-26,124,69,2
2026-07-27,124,69,1
2026-07-28,124,69,2
2026-07-29,124,69,1
2026-07-30,124,69,0
2026-07-31,124,69,1
2026-08-01,124,69,1
2026-08-02,124,69,10
2026-08-03,124,69,19
2026-08-04,124,69,15
2026-08-05,124,69,16
2026-08-06,122,70,21
2026-08-07,122,70,18
2026-08-08,124,71,10
2026-08-09,124,71,17
2026-08-10,124,71,23
2026-08-11,124,79,4
2026-08-12,124,79,27
2026-08-13,124,79,50
2026-08-14,124,79,34
2026-08-15,121,82,23
2026-08-16,121,82,39
2026-08-17,121,82,28
2026-08-18,123,80,26
2026-08-19,123,80,32
2026-08-20,123,80,15
2026-08-21,123,80,17
2026-08-22,115,88,23
2026-08-23,115,88,23
2026-08-24,115,88,45
2026-08-25,115,88,31
2026-08-26,115,88,31
2026-08-27,115,88,22
2026-08-28,115,88,21
2026-08-29,115,88,32
2026-08-30,115,88,31
2026-08-31,115,88,38
2026-09-01,115,88,45
2026-09-02,115,88,30
2026-09-03,115,88,35
2026-09-04,115,88,36
