Country,Clicks,Impressions,CTR,Position
India,22,841,2.62%,16.92
United States,1,187,0.53%,8.73
France,1,3,33.33%,30.67
Poland,1,1,100%,1
United Arab Emirates,0,21,0%,18.05
New Zealand,0,16,0%,6.94
Pakistan,0,9,0%,7.11
Vietnam,0,9,0%,30.89
Philippines,0,8,0%,59.5
Indonesia,0,6,0%,20.33
South Africa,0,5,0%,26.4
Saudi Arabia,0,5,0%,28.4
Thailand,0,5,0%,32.4
United Kingdom,0,4,0%,5.5
Nepal,0,4,0%,6.75
Hong Kong,0,4,0%,7.5
Australia,0,4,0%,11
Bangladesh,0,4,0%,34.75
Spain,0,4,0%,36.75
Mexico,0,4,0%,58.25
Malaysia,0,4,0%,68
Brazil,0,3,0%,2.67
Netherlands,0,3,0%,4.67
Kenya,0,2,0%,1
Lithuania,0,2,0%,1.5
Uganda,0,2,0%,4.5
Nigeria,0,2,0%,5
China,0,2,0%,6
Kuwait,0,2,0%,6
Canada,0,2,0%,6.5
South Korea,0,2,0%,7
Belgium,0,2,0%,7.5
Singapore,0,2,0%,8.5
Turkey,0,2,0%,63
Qatar,0,1,0%,1
Rwanda,0,1,0%,1
Sweden,0,1,0%,1
Tanzania,0,1,0%,1
Sri Lanka,0,1,0%,2
Sudan,0,1,0%,2
Uzbekistan,0,1,0%,2
Peru,0,1,0%,3
Ghana,0,1,0%,4
Colombia,0,1,0%,7
Iceland,0,1,0%,7
Germany,0,1,0%,8
Japan,0,1,0%,8
Argentina,0,1,0%,10
Russia,0,1,0%,62
