Top queries,Clicks,Impressions,CTR,Position
top 10 school management software,1,10,10%,7.6
best school mobile app,1,7,14.29%,11.57
multi campus school erp software,0,46,0%,20.96
student directory,0,33,0%,6.58
school management software with transport tracking,0,31,0%,68.29
top 10 school management software in india,0,27,0%,5.33
school erp with whatsapp integration,0,21,0%,47.67
payroll software for schools,0,10,0%,36.7
"what are the top affordable educational software options for schools and 
teachers in india?",0,9,0%,4
single school that runs in more than one campus,0,9,0%,5.67
school erp free demo,0,8,0%,27
report module,0,7,0%,21.71
school erp with audit trail,0,6,0%,26.33
"which mobile operator in india is the best fit for an education app needing 
wide reach?",0,5,0%,7.6
school erp demo,0,5,0%,56.6
mark your attendance meaning,0,4,0%,8.75
e learning software for schools,0,4,0%,10.5
school erp student portal,0,3,0%,2.67
school management software for principals,0,3,0%,29
school payroll software,0,3,0%,45.33
qidart com,0,3,0%,45.67
feekart,0,3,0%,55.67
school admin panel,0,2,0%,4
winners parent portal mark entry,0,2,0%,7.5
"(""razorpay"" or ""phonepe"") and (""payment"" or ""payments"" or ""gateway"" or 
""gateways"" or ""pos"" or ""payroll"" or ""lending"" or ""upi"")",0,2,0%,8
best school management software india,0,2,0%,41
payroll software education,0,2,0%,60.5
payroll software for education,0,2,0%,61
payroll software for education industry,0,2,0%,64
school erp for school owners,0,2,0%,64.5
school erp with role based access,0,2,0%,75
school payroll system,0,2,0%,77.5
school erp for principals,0,2,0%,89.5
school erp with analytics,0,1,0%,1
school site,0,1,0%,1
student management software,0,1,0%,1
for students,0,1,0%,2
kidru,0,1,0%,2
school management erp,0,1,0%,2
k8,0,1,0%,3
list 100 names,0,1,0%,3
modules,0,1,0%,3
slcm 2.0,0,1,0%,3
apps,0,1,0%,4
not good at all,0,1,0%,4
school software,0,1,0%,4
studentdirectory,0,1,0%,5
yes both options,0,1,0%,5
india,0,1,0%,7
sirf mobile se,0,1,0%,7
in education sector,0,1,0%,9
parent portal dashboard,0,1,0%,10
due fees,0,1,0%,11
parent portal software,0,1,0%,23
demo.tracking.school,0,1,0%,27
keyaro edutech private limited refund policy,0,1,0%,27
kurise erp,0,1,0%,29
quariarts,0,1,0%,33
school analytics,0,1,0%,38
growing stars dashboard,0,1,0%,46
school parent communication software,0,1,0%,46
edconnect payroll,0,1,0%,54
loan for school erp system,0,1,0%,55
hr and payroll software for schools,0,1,0%,56
school erp dashboard for school owners,0,1,0%,62
school management software with report cards,0,1,0%,62
payroll for education,0,1,0%,68
curricle fs,0,1,0%,72
keyaro edutech private limited,0,1,0%,73
best school management software in india,0,1,0%,76
loan for erp modules in school,0,1,0%,85
school erp with admissions and fees,0,1,0%,88
school erp with visitor management,0,1,0%,92
integrated school management software,0,1,0%,98
